id,square_feet,bedrooms,bathrooms,pets_allowed
5668629911,1110,3.0,2.0,"Cats,Dogs"
5668628546,815,1.0,1.0,"Cats,Dogs"
5668627312,1500,4.0,1.0,No pets allowed
5668626706,880,1.0,1.5,No pets allowed
5668623923,250,1.0,1.0,No pets allowed
5668618029,1099,2.0,2.0,"Cats,Dogs"
5668617133,784,1.0,1.0,"Cats,Dogs"
5668614354,715,1.0,1.0,"Cats,Dogs"
5668612094,629,1.0,1.0,Cats
5668254891,700,2.0,1.0,No pets allowed
5668632790,1295,2.0,2.0,"Cats,Dogs"
5668628335,900,2.0,1.0,"Cats,Dogs"
5668627995,1152,2.0,2.5,Dogs
5668625740,2106,4.0,3.0,"Cats,Dogs"
5668624401,1555,3.0,2.0,"Cats,Dogs"
5668622807,250,1.0,1.0,No pets allowed
5668622113,775,1.0,1.0,"Cats,Dogs"
5668619634,250,1.0,1.0,No pets allowed
5668613891,738,1.0,1.0,"Cats,Dogs"
5668613529,730,1.0,1.0,"Cats,Dogs"
5668613253,817,1.0,1.0,"Cats,Dogs"
5668611525,796,2.0,1.0,"Cats,Dogs"
5668635512,850,1.0,1.0,"Cats,Dogs"
5668622491,759,1.0,1.0,"Cats,Dogs"
5668622471,250,1.0,1.0,No pets allowed
5668622217,727,1.0,1.0,"Cats,Dogs"
5668619515,250,1.0,1.0,No pets allowed
5668613918,940,1.0,1.0,"Cats,Dogs"
5668613488,336,1.0,1.0,"Cats,Dogs"
5668611261,690,1.0,1.0,"Cats,Dogs"
5668611218,700,1.0,1.0,"Cats,Dogs"
5668610923,680,1.0,1.0,No pets allowed
5668610835,1604,3.0,2.0,"Cats,Dogs"
5668639518,632,1.0,1.0,No pets allowed
5668626538,1365,2.0,2.5,No pets allowed
5668624922,1165,3.0,2.0,"Cats,Dogs"
5668624917,1704,3.0,2.0,"Cats,Dogs"
5668622478,945,2.0,1.0,"Cats,Dogs"
5668620300,1395,3.0,3.0,Cats
5668619630,2020,3.0,2.0,"Cats,Dogs"
5668617584,1219,4.0,4.0,No pets allowed
5668614911,533,2.0,1.0,"Cats,Dogs"
5668614456,790,1.0,1.0,"Cats,Dogs"
5668613942,740,3.0,1.0,"Cats,Dogs"
5668612651,674,1.0,1.0,"Cats,Dogs"
5668612027,760,1.0,1.0,"Cats,Dogs"
5668251291,1137,3.0,2.0,No pets allowed
5668637952,626,1.0,1.0,No pets allowed
5668629514,1900,3.0,2.5,"Cats,Dogs"
5668629150,833,1.0,1.0,No pets allowed
5668624403,1412,3.0,2.0,"Cats,Dogs"
5668624367,219,1.0,1.0,No pets allowed
5668623273,505,1.0,1.0,"Cats,Dogs"
5668617488,1907,3.0,2.0,"Cats,Dogs"
5668616803,735,2.0,1.0,"Cats,Dogs"
5668613914,741,1.0,1.0,"Cats,Dogs"
5668613217,522,3.0,1.0,"Cats,Dogs"
5668612067,560,1.0,1.0,"Cats,Dogs"
5668611637,768,1.0,1.0,"Cats,Dogs"
5668611283,675,1.0,1.0,Cats
5668611223,733,1.0,1.0,"Cats,Dogs"
5668611108,720,1.0,1.0,"Cats,Dogs"
5668610964,2238,3.0,2.0,"Cats,Dogs"
5668610947,1738,4.0,2.0,"Cats,Dogs"
5668635958,925,2.0,1.0,"Cats,Dogs"
5668635116,1747,3.0,2.0,Dogs
5668627360,2281,3.0,3.0,Dogs
5668624423,1351,4.0,2.0,"Cats,Dogs"
5668624385,1425,4.0,2.0,"Cats,Dogs"
5668617231,2702,3.0,2.0,"Cats,Dogs"
5668614994,806,1.0,1.0,"Cats,Dogs"
5668614742,900,2.0,2.0,"Cats,Dogs"
5668613179,451,3.0,1.0,No pets allowed
5668611268,500,1.0,1.0,"Cats,Dogs"
5668610968,1555,5.0,1.0,No pets allowed
5668610081,530,1.0,1.0,"Cats,Dogs"
5668639742,1610,2.0,2.0,No pets allowed
5668634098,645,1.0,1.0,"Cats,Dogs"
5668633531,600,1.0,1.0,"Cats,Dogs"
5668629839,1110,2.0,2.0,"Cats,Dogs"
5668624941,1564,3.0,2.0,"Cats,Dogs"
5668624370,219,1.0,1.0,No pets allowed
5668624305,900,1.0,1.0,Cats
5668624128,830,1.0,1.0,"Cats,Dogs"
5668622175,800,2.0,1.0,"Cats,Dogs"
5668617421,1842,4.0,2.0,"Cats,Dogs"
5668613854,500,2.0,1.0,"Cats,Dogs"
5668612613,848,1.0,1.0,"Cats,Dogs"
5668612060,689,1.0,1.0,"Cats,Dogs"
5668638747,1800,2.0,2.5,"Cats,Dogs"
5668638731,750,2.0,1.0,No pets allowed
5668635848,800,2.0,2.0,No pets allowed
5668634809,850,2.0,1.0,"Cats,Dogs"
5668634338,1920,4.0,4.0,"Cats,Dogs"
5668633324,3200,4.0,4.0,No pets allowed
5668629157,828,1.0,1.0,No pets allowed
5668627931,2661,4.0,3.0,Dogs
5668626564,830,2.0,1.0,"Cats,Dogs"
5668622484,250,1.0,1.0,No pets allowed
5668622082,1648,4.0,2.0,"Cats,Dogs"
5668613889,800,1.0,1.0,"Cats,Dogs"
5668613728,723,1.0,1.0,"Cats,Dogs"
5668613456,550,1.0,1.0,"Cats,Dogs"
5668613208,535,1.0,1.0,Cats
5668611271,538,3.0,1.0,"Cats,Dogs"
5668610299,622,1.0,1.0,"Cats,Dogs"
5668637955,1909,5.0,3.5,"Cats,Dogs"
5668637447,2300,4.0,2.5,"Cats,Dogs"
5668635337,478,2.0,1.0,"Cats,Dogs"
5668633358,1400,2.0,2.5,No pets allowed
5668624596,250,1.0,1.0,No pets allowed
5668623919,800,1.0,1.0,No pets allowed
5668613498,850,2.0,1.0,"Cats,Dogs"
5668613480,540,1.0,1.0,"Cats,Dogs"
5668612606,650,1.0,1.0,No pets allowed
5668638617,939,1.0,1.5,"Cats,Dogs"
5668629540,657,1.0,1.0,No pets allowed
5668613886,533,2.0,1.0,"Cats,Dogs"
5668613848,684,1.0,1.0,"Cats,Dogs"
5668613841,861,1.0,1.0,"Cats,Dogs"
5668613762,687,1.0,1.0,"Cats,Dogs"
5668612597,805,1.0,1.0,"Cats,Dogs"
5668639776,1119,2.0,2.0,Dogs
5668638986,1470,2.0,2.0,No pets allowed
5668632039,2494,4.0,2.5,"Cats,Dogs"
5668631992,2100,3.0,2.5,No pets allowed
5668624549,219,1.0,1.0,No pets allowed
5668624394,850,1.0,1.0,"Cats,Dogs"
5668622824,749,1.0,1.0,"Cats,Dogs"
5668622200,1037,3.0,2.0,Cats
5668622168,849,1.0,1.0,"Cats,Dogs"
5668614428,800,1.0,1.0,"Cats,Dogs"
5668613423,850,1.0,1.0,"Cats,Dogs"
5668611853,450,1.0,1.0,"Cats,Dogs"
5668610914,570,2.0,1.0,"Cats,Dogs"
5668610554,405,0.0,1.0,Cats
5668610025,540,1.0,1.0,"Cats,Dogs"
5668640184,850,2.0,1.0,"Cats,Dogs"
5668638465,740,1.0,1.0,"Cats,Dogs"
5668637942,1400,3.0,2.5,No pets allowed
5668635452,1100,3.0,1.5,No pets allowed
5668634772,1783,4.0,2.0,"Cats,Dogs"
5668634045,2162,4.0,2.0,Dogs
5668622716,560,1.0,1.0,"Cats,Dogs"
5668622240,1520,4.0,4.0,"Cats,Dogs"
5668620305,1170,3.0,3.0,Cats
5668619365,560,1.0,1.0,"Cats,Dogs"
5668615737,1510,3.0,2.0,"Cats,Dogs"
5668615012,1100,2.0,1.0,"Cats,Dogs"
5668614986,939,1.0,1.0,"Cats,Dogs"
5668613534,500,1.0,1.0,"Cats,Dogs"
5668613472,750,1.0,1.0,"Cats,Dogs"
5668610813,1104,4.0,2.0,"Cats,Dogs"
5668639823,1350,2.0,2.0,No pets allowed
5668638431,897,1.0,1.0,"Cats,Dogs"
5668637622,1584,3.0,2.5,No pets allowed
5668635854,1454,3.0,2.0,"Cats,Dogs"
5668633057,1370,2.0,2.0,No pets allowed
5668631101,1066,2.0,2.0,"Cats,Dogs"
5668630508,1301,4.0,2.0,No pets allowed
5668629953,726,1.0,1.0,"Cats,Dogs"
5668622460,868,1.0,1.0,"Cats,Dogs"
5668622425,474,3.0,1.0,"Cats,Dogs"
5668622178,200,1.0,1.0,No pets allowed
5668619650,250,1.0,1.0,No pets allowed
5668617299,647,1.0,1.0,"Cats,Dogs"
5668616833,1500,2.0,1.0,"Cats,Dogs"
5668613776,714,1.0,1.0,"Cats,Dogs"
5668613587,765,2.0,1.0,"Cats,Dogs"
5668611295,539,1.0,1.0,"Cats,Dogs"
5668610826,1600,3.0,2.0,"Cats,Dogs"
5668640298,950,2.0,1.5,No pets allowed
5668640079,650,1.0,1.0,No pets allowed
5668639653,950,3.0,1.0,"Cats,Dogs"
5668635443,930,2.0,1.5,No pets allowed
5668629501,1000,3.0,1.5,No pets allowed
5668639902,2844,4.0,3.0,No pets allowed
5668625780,650,1.0,1.0,"Cats,Dogs"
5668624315,475,1.0,1.0,No pets allowed
5668620294,1419,3.0,3.0,"Cats,Dogs"
5668619353,800,1.0,1.0,"Cats,Dogs"
5668617110,609,1.0,1.0,"Cats,Dogs"
5668614497,826,1.0,1.0,"Cats,Dogs"
5668613198,754,1.0,1.0,"Cats,Dogs"
5668611668,546,2.0,1.0,"Cats,Dogs"
5668611125,695,1.0,1.0,Cats
5668641521,1226,2.0,2.0,No pets allowed
5668636256,1595,3.0,2.0,"Cats,Dogs"
5668633312,2425,3.0,4.0,"Cats,Dogs"
5668627239,5700,5.0,5.0,"Cats,Dogs"
5668626219,890,1.0,1.0,No pets allowed
5668624741,2500,4.0,2.0,No pets allowed
5668624413,1459,3.0,2.0,"Cats,Dogs"
5668624380,1268,3.0,2.0,"Cats,Dogs"
5668620308,735,1.0,2.0,"Cats,Dogs"
5668616874,747,1.0,1.0,"Cats,Dogs"
5668613494,613,1.0,1.0,"Cats,Dogs"
5668613261,761,1.0,1.0,"Cats,Dogs"
5668613247,1031,2.0,2.0,"Cats,Dogs"
5668613232,647,2.0,1.0,"Cats,Dogs"
5668612625,701,1.0,1.0,"Cats,Dogs"
5668612617,638,1.0,1.0,"Cats,Dogs"
5668610831,1182,3.0,2.0,"Cats,Dogs"
5668610550,504,1.0,1.0,Cats
5668610075,510,1.0,1.0,"Cats,Dogs"
5668637926,1274,2.0,2.0,Cats
5668634497,1100,2.0,2.0,"Cats,Dogs"
5668634429,1077,2.0,2.0,"Cats,Dogs"
5668634054,650,1.0,1.0,"Cats,Dogs"
5668633906,2100,3.0,3.5,Dogs
5668630480,742,1.0,1.0,No pets allowed
5668629181,1705,3.0,2.0,"Cats,Dogs"
5668624833,922,2.0,1.0,No pets allowed
5668624593,400,1.0,1.0,No pets allowed
5668624375,1176,3.0,2.0,"Cats,Dogs"
5668624341,465,2.0,1.0,"Cats,Dogs"
5668624293,1000,2.0,1.0,No pets allowed
5668624133,602,1.0,1.0,"Cats,Dogs"
5668619509,818,1.0,1.0,"Cats,Dogs"
5668619341,250,1.0,1.0,No pets allowed
5668615334,722,1.0,1.0,"Cats,Dogs"
5668613968,644,1.0,1.0,"Cats,Dogs"
5668613958,645,1.0,1.0,"Cats,Dogs"
5668613955,568,2.0,1.0,"Cats,Dogs"
5668613658,510,1.0,1.0,"Cats,Dogs"
5668613446,450,1.0,1.0,"Cats,Dogs"
5668613414,517,2.0,1.0,"Cats,Dogs"
5668611561,589,2.0,1.0,"Cats,Dogs"
5668611291,668,1.0,1.0,"Cats,Dogs"
5668611177,519,2.0,1.0,"Cats,Dogs"
5668611139,695,1.0,1.0,"Cats,Dogs"
5668610832,1176,3.0,2.0,"Cats,Dogs"
5668643162,3525,5.0,3.0,No pets allowed
5668641504,2383,4.0,3.5,No pets allowed
5668639489,896,2.0,1.0,"Cats,Dogs"
5668639436,1077,2.0,2.0,"Cats,Dogs"
5668639051,902,2.0,2.0,No pets allowed
5668637935,595,1.0,1.0,No pets allowed
5668634887,1130,3.0,1.5,"Cats,Dogs"
5668634438,2162,4.0,2.0,Dogs
5668633913,2823,4.0,2.0,No pets allowed
5668627973,1835,3.0,2.0,No pets allowed
5668626638,1597,3.0,3.5,"Cats,Dogs"
5668626055,759,1.0,1.0,No pets allowed
5668624587,280,1.0,1.0,No pets allowed
5668624337,770,1.0,1.0,"Cats,Dogs"
5668624325,250,1.0,1.0,No pets allowed
5668622234,848,1.0,1.0,"Cats,Dogs"
5668622195,689,1.0,1.0,"Cats,Dogs"
5668620765,816,1.0,1.0,"Cats,Dogs"
5668618887,705,1.0,1.0,Cats
5668615037,450,3.0,1.0,"Cats,Dogs"
5668613800,689,1.0,1.0,"Cats,Dogs"
5668613714,622,1.0,1.0,"Cats,Dogs"
5668613672,625,1.0,1.0,"Cats,Dogs"
5668613236,501,2.0,1.0,"Cats,Dogs"
5668613184,568,1.0,1.0,Cats
5668612659,581,1.0,1.0,"Cats,Dogs"
5668612639,645,1.0,1.0,"Cats,Dogs"
5668612192,930,2.0,1.0,"Cats,Dogs"
5668612038,827,1.0,1.0,"Cats,Dogs"
5668611923,737,1.0,1.0,"Cats,Dogs"
5668610822,1764,4.0,2.0,"Cats,Dogs"
5668610544,426,1.0,1.0,Cats
5668610277,561,1.0,1.0,"Cats,Dogs"
5668642898,2303,4.0,2.5,"Cats,Dogs"
5668642088,1594,3.0,2.0,No pets allowed
5668638768,700,1.0,1.0,No pets allowed
5668636486,1278,3.0,2.0,No pets allowed
5668635891,730,1.0,1.0,No pets allowed
5668634803,1600,2.0,2.0,No pets allowed
5668633552,718,1.0,1.0,"Cats,Dogs"
5668632998,851,1.0,1.0,"Cats,Dogs"
5668630568,1625,3.0,3.0,No pets allowed
5668629232,2828,3.0,4.0,No pets allowed
5668627742,560,1.0,1.0,"Cats,Dogs"
5668626160,808,1.0,1.0,No pets allowed
5668625823,807,1.0,1.0,No pets allowed
5668624937,1080,2.0,2.0,No pets allowed
5668624427,570,1.0,1.0,No pets allowed
5668624417,1503,3.0,2.0,"Cats,Dogs"
5668624409,734,1.0,1.0,"Cats,Dogs"
5668624391,1574,3.0,2.0,"Cats,Dogs"
5668624388,450,2.0,1.0,"Cats,Dogs"
5668624163,862,1.0,1.0,No pets allowed
5668623914,250,1.0,1.0,No pets allowed
5668619311,900,1.0,1.0,No pets allowed
5668617506,2634,5.0,3.0,No pets allowed
5668617281,2076,3.0,2.0,No pets allowed
5668617113,812,2.0,1.0,"Cats,Dogs"
5668615341,660,1.0,1.0,"Cats,Dogs"
5668613986,725,1.0,1.0,"Cats,Dogs"
5668613679,625,1.0,1.0,"Cats,Dogs"
5668613595,856,1.0,1.0,"Cats,Dogs"
5668613547,630,1.0,1.0,"Cats,Dogs"
5668613268,750,1.0,1.0,"Cats,Dogs"
5668613225,526,1.0,1.0,"Cats,Dogs"
5668613191,700,1.0,1.0,"Cats,Dogs"
5668612578,744,2.0,1.0,"Cats,Dogs"
5668612572,459,2.0,1.0,"Cats,Dogs"
5668612301,1170,3.0,2.0,"Cats,Dogs"
5668611506,488,1.0,1.0,"Cats,Dogs"
5668611322,377,2.0,1.0,"Cats,Dogs"
5668611229,435,1.0,1.0,Cats
5668611188,440,3.0,1.0,"Cats,Dogs"
5668611182,500,1.0,1.0,"Cats,Dogs"
5668611066,622,1.0,1.0,"Cats,Dogs"
5668611063,754,2.0,1.0,"Cats,Dogs"
5668610925,1560,3.0,2.0,"Cats,Dogs"
5668610804,1100,3.0,1.0,"Cats,Dogs"
5668610052,667,1.0,1.0,"Cats,Dogs"
5668643292,11318,6.0,8.5,No pets allowed
5668642724,1512,3.0,2.5,Dogs
5668641600,600,1.0,1.0,"Cats,Dogs"
5668641298,2000,2.0,2.0,"Cats,Dogs"
5668641254,1200,2.0,1.0,No pets allowed
5668640885,1700,3.0,2.0,Dogs
5668640263,1400,2.0,2.0,No pets allowed
5668639963,1871,4.0,2.5,No pets allowed
5668639916,1688,3.0,2.0,Dogs
5668639882,900,2.0,1.0,No pets allowed
5668639609,607,1.0,1.0,"Cats,Dogs"
5668639284,2486,3.0,3.5,No pets allowed
5668638643,1008,1.0,1.0,Cats
5668638527,1704,3.0,2.5,"Cats,Dogs"
5668638056,1650,3.0,2.5,"Cats,Dogs"
5668638039,2546,5.0,3.5,"Cats,Dogs"
5668637363,1294,2.0,2.0,No pets allowed
5668636668,635,1.0,1.0,No pets allowed
5668636599,1287,2.0,2.0,"Cats,Dogs"
5668636390,3797,4.0,4.5,"Cats,Dogs"
5668634334,2199,3.0,2.5,"Cats,Dogs"
5668634332,2199,3.0,2.5,"Cats,Dogs"
5668633305,1900,4.0,3.0,No pets allowed
5668632618,1650,2.0,1.0,"Cats,Dogs"
5668630340,833,1.0,1.0,No pets allowed
5668630330,1157,2.0,2.0,"Cats,Dogs"
5668629710,1947,4.0,2.5,No pets allowed
5668628904,1175,2.0,2.0,"Cats,Dogs"
5668628460,1719,3.0,2.0,No pets allowed
5668628451,1009,2.0,2.0,No pets allowed
5668628395,2037,3.0,2.5,"Cats,Dogs"
5668627365,2700,4.0,3.5,Cats
5668626800,1270,3.0,2.0,"Cats,Dogs"
5668626720,750,1.0,1.0,Dogs
5668624940,1627,2.0,3.0,No pets allowed
5668624933,1508,3.0,2.0,"Cats,Dogs"
5668624926,1210,3.0,2.0,"Cats,Dogs"
5668624912,1601,4.0,2.0,"Cats,Dogs"
5668624585,250,1.0,1.0,No pets allowed
5668624574,741,1.0,1.0,"Cats,Dogs"
5668624545,616,3.0,1.0,Cats
5668624363,450,1.0,1.0,"Cats,Dogs"
5668624299,250,1.0,1.0,No pets allowed
5668624168,700,1.0,1.0,"Cats,Dogs"
5668623268,618,1.0,1.0,"Cats,Dogs"
5668622250,780,2.0,2.0,"Cats,Dogs"
5668622187,835,1.0,1.0,"Cats,Dogs"
5668622164,925,2.0,2.0,"Cats,Dogs"
5668622109,804,1.0,1.0,"Cats,Dogs"
5668622087,1544,3.0,2.0,"Cats,Dogs"
5668620400,900,2.0,2.0,"Cats,Dogs"
5668619665,617,1.0,1.0,"Cats,Dogs"
5668619361,623,1.0,1.0,"Cats,Dogs"
5668619316,772,1.0,1.0,"Cats,Dogs"
5668617450,950,2.0,1.0,"Cats,Dogs"
5668617429,540,1.0,1.0,"Cats,Dogs"
5668617259,2108,4.0,2.0,No pets allowed
5668617129,650,1.0,1.0,No pets allowed
5668617124,624,1.0,1.0,"Cats,Dogs"
5668617121,635,1.0,1.0,"Cats,Dogs"
5668617117,641,1.0,1.0,"Cats,Dogs"
5668615721,680,1.0,1.0,No pets allowed
5668615717,670,1.0,1.0,No pets allowed
5668615331,709,1.0,1.0,"Cats,Dogs"
5668614916,552,2.0,1.0,"Cats,Dogs"
5668614841,747,1.0,1.0,"Cats,Dogs"
5668614830,400,1.0,1.0,No pets allowed
5668614517,910,1.0,1.0,"Cats,Dogs"
5668613983,613,3.0,1.0,No pets allowed
5668613978,683,1.0,1.0,"Cats,Dogs"
5668613973,687,1.0,1.0,"Cats,Dogs"
5668613964,709,1.0,1.0,"Cats,Dogs"
5668613952,735,1.0,1.0,"Cats,Dogs"
5668613894,638,1.0,1.0,"Cats,Dogs"
5668613880,535,2.0,1.0,"Cats,Dogs"
5668613860,779,1.0,1.0,"Cats,Dogs"
5668613824,671,1.0,1.0,"Cats,Dogs"
5668613821,800,2.0,1.0,"Cats,Dogs"
5668613755,472,1.0,1.0,"Cats,Dogs"
5668613748,804,1.0,1.0,"Cats,Dogs"
5668613734,504,1.0,1.0,"Cats,Dogs"
5668613697,650,2.0,1.0,"Cats,Dogs"
5668613666,619,3.0,1.0,"Cats,Dogs"
5668613451,570,3.0,1.0,"Cats,Dogs"
5668613204,536,2.0,1.0,"Cats,Dogs"
5668612663,844,1.0,1.0,"Cats,Dogs"
5668612642,973,1.0,1.0,"Cats,Dogs"
5668612632,870,1.0,1.0,"Cats,Dogs"
5668612588,739,1.0,1.0,"Cats,Dogs"
5668612583,770,1.0,1.0,"Cats,Dogs"
5668612566,850,1.0,1.0,"Cats,Dogs"
5668612012,600,1.0,1.0,"Cats,Dogs"
5668612007,727,1.0,1.0,"Cats,Dogs"
5668611917,606,3.0,1.0,"Cats,Dogs"
5668611821,846,1.0,1.0,"Cats,Dogs"
5668611746,402,2.0,1.0,"Cats,Dogs"
5668611741,673,1.0,1.0,"Cats,Dogs"
5668611326,800,1.0,1.0,"Cats,Dogs"
5668611302,390,2.0,1.0,"Cats,Dogs"
5668611255,750,1.0,1.0,"Cats,Dogs"
5668611246,782,1.0,1.0,"Cats,Dogs"
5668611242,780,1.0,1.0,"Cats,Dogs"
5668611213,940,2.0,2.0,"Cats,Dogs"
5668611148,720,1.0,1.0,"Cats,Dogs"
5668611119,850,1.0,1.0,Cats
5668611072,900,2.0,1.0,"Cats,Dogs"
5668611058,550,1.0,1.0,"Cats,Dogs"
5668610859,1100,3.0,2.0,No pets allowed
5668610838,1868,3.0,2.0,"Cats,Dogs"
5668610283,960,2.0,2.0,"Cats,Dogs"
5668610036,709,1.0,1.0,"Cats,Dogs"
5668609988,600,1.0,1.0,"Cats,Dogs"
5668622638,250,1.0,1.0,No pets allowed
5668638397,775,2.0,1.0,"Cats,Dogs"
5668618570,250,1.0,1.0,No pets allowed
5668634493,1552,2.0,2.5,"Cats,Dogs"
5668624849,250,1.0,1.0,No pets allowed
5668620774,250,1.0,1.0,No pets allowed
5668626833,107,0.0,1.0,No pets allowed
5668625024,250,1.0,1.0,No pets allowed
5668624721,250,1.0,1.0,No pets allowed
5668624602,250,1.0,1.0,No pets allowed
5668624552,250,1.0,1.0,No pets allowed
5668624350,250,1.0,1.0,No pets allowed
5668624290,400,1.0,1.0,No pets allowed
5668622813,250,1.0,1.0,No pets allowed
5668622438,250,1.0,1.0,No pets allowed
5668253136,1239,2.0,2.0,No pets allowed
5668251142,900,2.0,2.0,"Cats,Dogs"
5668259732,436,1.0,1.0,No pets allowed
5668255071,920,1.0,1.0,No pets allowed
5664597376,570,1.0,1.0,No pets allowed
5664598009,1429,2.0,2.5,No pets allowed
5664597967,2856,4.0,2.5,No pets allowed
5664597342,2246,4.0,2.0,"Cats,Dogs"
5664596499,2196,4.0,2.5,No pets allowed
5664595062,2407,3.0,2.0,No pets allowed
5664580810,1730,2.0,2.5,No pets allowed
5664579728,1957,3.0,2.0,"Cats,Dogs"
5664575354,500,1.0,1.0,"Cats,Dogs"
5664573944,623,1.0,1.0,"Cats,Dogs"
5664573248,400,1.0,1.0,No pets allowed
5664579308,1119,3.0,2.0,"Cats,Dogs"
5664575668,900,2.0,1.0,No pets allowed
5664598451,690,1.0,1.0,No pets allowed
5664598144,1395,4.0,2.5,"Cats,Dogs"
5664597744,1816,3.0,2.5,Dogs
5664583681,1828,3.0,2.5,No pets allowed
5664579555,1228,3.0,2.0,"Cats,Dogs"
5664573784,1642,3.0,2.0,"Cats,Dogs"
5664596757,4000,5.0,3.5,Dogs
5664576147,1344,3.0,2.0,"Cats,Dogs"
5664573380,600,1.0,1.0,No pets allowed
5664567250,836,1.0,1.0,"Cats,Dogs"
5664597936,4500,4.0,4.5,No pets allowed
5664597642,2266,4.0,4.0,"Cats,Dogs"
5664576109,497,2.0,1.0,"Cats,Dogs"
5664575334,250,1.0,1.0,No pets allowed
5664574862,562,3.0,1.0,"Cats,Dogs"
5664574698,688,1.0,1.0,"Cats,Dogs"
5664574105,215,1.0,1.0,No pets allowed
5664583648,886,2.0,1.0,Dogs
5664579890,2157,4.0,3.0,"Cats,Dogs"
5664579551,1656,3.0,2.0,"Cats,Dogs"
5664576197,575,3.0,1.0,"Cats,Dogs"
5664576184,1440,3.0,2.0,"Cats,Dogs"
5664573818,1501,4.0,2.0,"Cats,Dogs"
5664596818,1461,3.0,2.0,"Cats,Dogs"
5664581458,672,1.0,1.0,"Cats,Dogs"
5664576270,1842,4.0,2.0,"Cats,Dogs"
5664581629,2130,3.0,3.0,No pets allowed
5664575605,2138,5.0,2.0,"Cats,Dogs"
5664574855,250,1.0,1.0,No pets allowed
5664571583,660,2.0,1.0,"Cats,Dogs"
5664595222,1400,3.0,3.5,"Cats,Dogs"
5664576105,1130,3.0,2.0,"Cats,Dogs"
5664575328,650,1.0,1.0,"Cats,Dogs"
5664573751,700,1.0,1.0,No pets allowed
5664568748,510,3.0,1.0,"Cats,Dogs"
5664567290,250,1.0,1.0,No pets allowed
5664598296,1395,4.0,2.5,"Cats,Dogs"
5664597033,1100,2.0,1.0,"Cats,Dogs"
5664595462,688,1.0,1.0,"Cats,Dogs"
5664595287,2594,4.0,3.0,No pets allowed
5664594111,3475,4.0,3.0,No pets allowed
5664576190,1117,3.0,2.0,"Cats,Dogs"
5665210323,1017,2.0,2.0,No pets allowed
5664597687,2300,3.0,2.0,No pets allowed
5664594835,620,1.0,1.0,"Cats,Dogs"
5664594581,650,1.0,1.0,Cats
5664574103,250,1.0,1.0,No pets allowed
5664572567,777,1.0,1.0,No pets allowed
5664572405,620,1.0,1.0,No pets allowed
